datedd|OPERATOR_NAME|COUNTRY_NAME|numuser|active_user|trafficmb|session|duration_s|s5s8_create_session_success_rate|s6a_loc_update_success_rate|dl_retransmitted_packet_rate|ul_retransmitted_packet_rate|internal_Latency|external_latency
2024-12-13|ALL|ALL|637814|107786|555321578.094265|313765445|7425686716.499992|8864911582767131|9987894127900960||||
2024-12-14|ALL|ALL|642192|120380|619464528.21142|2605163112|73831962508.87206|9433982174237336|9991830008475810||||
2024-12-15|ALL|ALL|650162|121568|619232836.0643387|2486614700|69367708698.81564|9397118129949426|9973875895637530||||
2024-12-16|ALL|ALL|652501|122050|587718013.3524008|2505035532|70799640725.67375|9460592523130780|99824550617834||||
2024-12-17|ALL|ALL|673870|122679|600286961.020277|2586637913|72282176592.54254|9426354172755016|999249118165878||||
2024-12-18|ALL|ALL|671815|127615|626173663.5469427|2804873496|75518183361.90225|9494878276395516|9990254719378352||||
2024-12-19|ALL|ALL|672790|129473|649349739.9037342|2729513312|74169481341.1664|9396534919558196|9975257630919612||||
2024-12-20|ALL|ALL|677576|132151|636588847.0130653|2878975113|72552352006.82831|9378652319773028|9964702417305456||||
2024-12-21|ALL|ALL|697345|136152|672746663.2652435|2854540564|71621937836.60019|9374498681467896|991370186426609||||
2024-12-22|ALL|ALL|694170|140143|698141224.5607548|2920443663|73309076484.61131|9362867411949668|9936388701712832||||
2024-12-23|ALL|ALL|697634|144686|719826012.942523|3000426853|78760046896.21889|9295685080101232|9956618969249156||||
2024-12-24|ALL|ALL|705492|149535|795758676.0414515|3590833773|90260108672.6211|9363817707672176|994635754658462||||
2024-12-25|ALL|ALL|707357|156063|833793856.6841516|3641260796|92352461856.24074|9318519022506332|9839707760367988||||
2024-12-26|ALL|ALL|718797|167592|905629105.910635|3995924613|99701466890.4163|9265388520687292|9921283245219804||||
2024-12-27|ALL|ALL|724617|169907|956019335.380641|4300580424|109093801966.04443|926164166812398|9882738504042344||||
2024-12-28|ALL|ALL|731399|174449|974166676.947462|4537018372|109517074607.769|9278182040854414|9873602841404086||||
2024-12-29|ALL|ALL|730355|173423|997333117.5439272|4600408443|108086132005.37888|9253612647054824|9884904431853566||||
2024-12-30|ALL|ALL|730842|172665|1004398516.4579695|4770384786|114362742631.23048|9302127476232184|9898860388229972||||
2024-12-31|ALL|ALL|726369|170938|807725963.4917364|4009650442|115918534925.19649|9311807345752436|9936292839144828||||
2025-01-01|ALL|ALL|712184|165743|977839998.520916|4159449563|103215740838.11195|9301245579132662|9932541823696160||||
2025-01-02|ALL|ALL|714533|161985|901306939.9710292|4106518360|99451195068.22604|9376700523869552|9971633115042358||||
2025-01-03|ALL|ALL|703790|153554|823999744.4609413|3687358808|90554915399.00122|9319257983170188|9986069525296568||||
2025-01-04|ALL|ALL|692749|145250|777549572.8121233|3429297536|84012327294.73422|9243012666020432|9961364399118052||||
2025-01-05|ALL|ALL|679845|139097|728225276.023426|3010802981|78137183678.87543|9225183918264108|9985807117156056||||
2025-01-06|ALL|ALL|666570|129697|651665160.5412483|2765797665|74493759336.2403|9224345932887606|9990649343842804||||
2025-01-07|ALL|ALL|644308|119098|809756974.4472933|3772937573|94428984361.86797|9213808666356660|999864348388609||||
2025-01-09|ALL|ALL|640353|116777|1129931756.2313938|5356578451|135781992370.53532|9182374130238740|99994295504348||||
2025-01-10|ALL|ALL|650195|118722|1192657098.0601406|5252652589|144388656472.03735|9179264645530414|9999181785103328||||
2025-01-11|ALL|ALL|642357|116789|1224448222.2366323|5196406810|146213003810.1187|9082742654388968|9997018426581408||||
2025-01-12|ALL|ALL|644902|119860|1214736635.6250572|4962520247|146422986923.64496|9019103805635676|9997463427577176||||
2025-01-13|ALL|ALL|641018|61919|7777569.299625|142672399|1036079510.912|7994988769319808|9998895646539624||||
2025-01-14|ALL|ALL|638055|114926|1215238295.9641752|7791697129|155419641505.56894|9171000704482256|9998463840840436||||
2025-01-15|ALL|ALL|644233|119861|1211635198.8788967|7969078865|156893980535.37863|9277456372724538|9998702904408380||||
2025-01-17|ALL|ALL|655615|129825|1350005555.649474|8580526526|173471670664.40454|9110844946236836|9999266815557580||||
2025-01-18|ALL|ALL|659183|127715|1402681750.644618|8962388527|177468668154.96786|8920018538733068|9997557794992892||||
2025-01-19|ALL|ALL|651164|125580|1380351681.3519783|8723670358|168100204870.88226|919713111289796|9999020490286192||||
2025-01-20|ALL|ALL|650414|122995|1229137937.263959|8323269699|161832941074.513|9113245922780274|9998794378765984||||
2025-01-21|ALL|ALL|643372|121246|1204895429.1196842|8446962972|159834878555.08542|9118280762452884|9998605782104968||||
2025-01-22|ALL|ALL|419291|89873|319782708.1530504|2267690989|41398522623.05464|9223249902885732|9998681720025196||||
2025-01-23|ALL|ALL|678806|125396|1325684052.543254|6946319371|17756848777.947655|9167483087850836|9999688744854372||||
2025-01-24|ALL|ALL|692493|134163|1340271128.3043013|8654168967|173827233934.5563|917713115892132|9998734829301544||||
2025-01-25|ALL|ALL|710996|154702|1529840449.0515146|9712618362|193430710571.1736|9231521482651076|999570566780666||||
2025-01-26|ALL|ALL|700586|148458|1599801526.0746183|9902203591|188335199621.8994|9106008688140396|9988648221577884||||
2025-01-27|ALL|ALL|704110|153154|1622227532.165906|10693661802|194538246258.47372|926741750678596|9991029163400424||||
2025-01-28|ALL|ALL|692042|139097|1470438256.9735594|7815942835|18163827304.765385|9368786995164904|9994548404670314||||
2025-01-29|ALL|ALL|674099|0||141081237||8035535667337344|9997439576960586||||
2025-01-31|ALL|ALL|671947|127470|1388969603.1369984|9581749270|245011804966.53384|9383116594915736|9998148347013384||||
2025-02-01|ALL|ALL|670753|125039|1370835301.3206625|9136614625|178757951700.80124|9334562467917648|999650324618446||||
2025-02-01|ALL|ALL|670753|125039|1370835301.3206625|9136614625|178757951700.80124|9334562467917648|999650324618446||||
2025-02-01|ALL|ALL|670753|125039|1370835301.3206625|9136614625|178757951700.80124|9334562467917648|999650324618446||||
2025-02-01|ALL|ALL|670753|125039|1370835301.3206625|9136614625|178757951700.80124|9334562467917648|999650324618446||||
2025-02-01|ALL|ALL|670753|125039|1370835301.3206625|9136614625|178757951700.80124|9334562467917648|999650324618446||||
